ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
2;VRbio;6;206;0,0027023;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,347584
2;VRbio;6;207;0,0026305;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,350362
2;VRbio;6;208;0,0028736;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,353089
2;VRbio;6;209;0,0029279;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,356014
2;VRbio;6;210;0,0025252;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,358529
2;VRbio;6;211;0,0024538;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,360984
2;VRbio;6;212;0,0029993;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,364045
2;VRbio;6;213;0,0027561;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,366748
2;VRbio;6;214;0,0031107;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,37003
2;VRbio;6;215;0,0027888;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,372649
2;VRbio;6;216;0,0032057;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,375855
2;VRbio;6;217;0,0032074;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,379168
2;VRbio;6;218;0,0032544;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,382363
2;VRbio;6;219;0,0031067;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,38573
2;VRbio;6;220;0,0030641;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,388492
2;VRbio;6;221;0,0025401;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,391162
2;VRbio;6;222;0,0026635;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,393681
2;VRbio;6;223;0,0027891;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,396488
2;VRbio;6;224;0,0025756;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,399051
2;VRbio;6;225;0,0026887;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,401728
2;VRbio;6;226;0,0027966;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,404536
2;VRbio;6;227;0,0025594;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,40712
2;VRbio;6;228;0,0037109;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,410956
2;VRbio;6;229;0,0027739;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,413584
2;VRbio;6;230;0,002998;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,41659
2;VRbio;6;231;0,0025518;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,419135
2;VRbio;6;232;0,0025904;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,421736
2;VRbio;6;233;0,0027152;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,424431
2;VRbio;6;234;0,0028002;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,427248
2;VRbio;6;235;0,0028345;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,430229
2;VRbio;6;236;0,002695;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,432776
